,mentor_expectation,count,behaviour_confidence_score,outcome_confidence_score,strategy_confidence_score,knowledge_confidence_score,mutual_confidence_score,highest_score_cluster
0,I am very excited for people who want to start a business or growth development to increase their bottom line to make a profit Don t Expect a Miracle if YOU ARE NOT Putting in the WORK Easily Giving Up Is NOT Acceptable It Takes TIME before You May See the Best Results for your Products or Services to Sell When creating a product or service it supposed to be solving a problem and having positive solutions Providing the best valuable information to move forward in your ventures is important for you to TAKE ACTION Test the Information Given to see if it s a Good Fit for your company The First Step is to TRY and TEST and PROVE Please Do NOT FEAR the Unknown Embrace Your Purpose in the World Because Someone Is Needing What YOU RE Offering It s OKAY To Challenge The Incoming and Roar Loud of the OUT Going We All have Something To OFFER UNIQUENESS Just Because YOU RE Selling Something That Others Are Doesn t Mean People Will Not Want It From YOU I want to See My Mentees WIN And I Want Them To Have The Same Energy to WIN Figure out Your WHY you are starting a business Do You Like the Products or Services You Are Selling Would You Buy and Use the Products or Services You Are Selling,2808,0.752433180809021,0.8025354743003845,0.6213140487670898,0.7775455713272095,0.7572191953659058,outcome
1,Be willing to communicate to me values goals objectives and the nature of the business concept I do considerable listening up front before making recommendations,2402,0.7273569107055664,0.5474703311920166,0.8242886066436768,0.6522902250289917,0.6808629035949707,strategy
2,I take my responsibility as a mentor very seriously and require the same level of commitment from my mentees Honesty and a willingness to work towards mutually agreed upon changes are essential qualities in the mentor mentee relationship,837,0.7167605757713318,0.7936159372329712,0.5454439520835876,0.7574417591094971,0.7243658304214478,outcome
3,La relación le permite al beneficiario a reflexionar sobre lo que está yendo bien y las formas en que se están moviendo hacia sus objetivos,641,0.8618690967559814,0.848712146282196,0.8032949566841125,0.8722350597381592,0.8580464720726013,knowledge
4,Dar el mayor apoyo y compartir los conocimientos y experiencia a los emprendedores,625,0.8619197010993958,0.8499231338500977,0.8124574422836304,0.8894250988960266,0.8652347326278687,knowledge
5,To achieve a successful mentoring relationship we as a team must be 100 transparent and be willing to listen learn and grow,595,0.8424403071403503,0.7829344272613525,0.7990705966949463,0.8373260498046875,0.8247849941253662,behaviour
6,Tremendous testimonies on how I have been able to help transform people s lives and how I have been able to bring their dreams and desires to a limelight,517,0.8384191989898682,0.8004252910614014,0.7810695171356201,0.8515777587890625,0.8282390832901001,knowledge
7,,510,0.10953385382890701,0.040956318378448486,0.16184933483600616,0.08294397592544556,0.10068289190530777,strategy
8,The person should introduce themself and make it clear what the issue or problem is Do not just say hello you should get to the point on why you are contacting me Mentors such as myself are busy and we want to minimize back and forth conversations For best results a phone call WhatsApp or Zoom session www zoom us is highly recommended This allows me to ask questions and give more complete advice that fits with your situation Once again I am here to help those who can communicate and define their problems in a clear and concise way,477,0.5260560512542725,0.6437606811523438,0.3349575400352478,0.5828461050987244,0.5413238406181335,outcome
9,Trust,456,0.714348554611206,0.809219479560852,0.5867077112197876,0.7612127065658569,0.7384932041168213,outcome
